Kode;Komponen;Satuan;Harga_Dasar;Kategori
;Pipa Beton dia. 500 mm;m';299000;Material
;"Pipa Beton, DN. 20"" (500 mm)";m';300000;Material
;Pipa Beton dia. 600 mm;m';350000;Material
;"Pipa Beton, DN. 24"" (600 mm)";m';351000;Material
;Pipa Beton dia. 700 mm;m';410000;Material
;"Pipa Beton, DN. 28"" (700 mm)";m';411000;Material
;Pipa Beton dia. 800 mm;m';490000;Material
;"Pipa Beton, DN. 32"" (800 mm)";m';491000;Material
;Pipa Beton dia. 1000 mm;m';570000;Material
;"Pipa Beton, DN. 40"" (1000 mm)";m';571000;Material
;Pipa Beton dia. 1200 mm;m';640000;Material
;"Pipa Beton, DN. 48"" (1200 mm)";m';641000;Material
;"Valve Ø 6"" (150 mm)";buah;225000;Material
;"Valve Ø 8"" (200 mm)";buah;290000;Material
;"Valve Ø 10"" (250 mm)";buah;350000;Material
;"Valve Ø 12"" (300 mm)";buah;410000;Material
;"Valve Ø 16"" (400 mm)";buah;490000;Material
;"Valve Ø 18"" (450 mm)";buah;530000;Material
;"Valve Ø 20"" (500 mm)";buah;590000;Material
;"Valve Ø 24"" (600 mm)";buah;670000;Material
;"Valve Ø 28"" (700 mm)";buah;750000;Material
;"Valve Ø 32"" (800 mm)";buah;810000;Material
;"Valve Ø 36"" (900 mm)";buah;890000;Material
;"Valve Ø 40"" (1000 mm)";buah;950000;Material
;"Valve Ø 44"" (1100 mm)";buah;1050000;Material
;"Valve Ø 48"" (1200 mm)";buah;1119000;Material
;"Valve Ø 1/2"" (15 mm)";buah;95000;Material
;"Valve Ø 3/4"" (20 mm)";buah;105000;Material
;"Valve Ø 1"" (25 mm)";buah;115000;Material
;"Valve Ø 1-1/4"" (32 mm)";buah;129000;Material
;"Valve Ø 1-1/2"" (40 mm)";buah;135000;Material
;"Valve Ø 2"" (50 mm)";buah;150000;Material
;"Valve Ø 2-1/2"" (65 mm)";buah;170000;Material
;"Valve Ø 3"" (80 mm)";buah;192000;Material
;"Valve Ø 4"" (100 mm)";buah;205000;Material
;"Valve Ø 5"" (125 mm)";buah;215000;Material
;"Tee Ø 6"" (150 mm)";buah;65000;Material
;"Tee Ø 8"" (200 mm)";buah;138000;Material
;"Tee Ø 10"" (250 mm)";buah;215000;Material
;"Tee Ø 18"" (450 mm)";buah;285000;Material
;"Tee Ø 20"" (500 mm)";buah;350000;Material
;"Tee Ø 24"" (600 mm)";buah;435000;Material
;"Tee Ø 28"" (700 mm)";buah;510000;Material
;"Tee Ø 32"" (800 mm)";buah;599000;Material
;"Tee Ø 36"" (900 mm)";buah;670000;Material
;"Tee Ø 40"" (1000 mm)";buah;750000;Material
;"Tee Ø 44"" (1100 mm)";buah;830000;Material
;"Tee Ø 48"" (1200 mm)";buah;950000;Material
;"Tee Ø 1/2"" (15 mm)";buah;20000;Material
;"Tee Ø 3/4"" (20 mm)";buah;27000;Material
;"Tee Ø 1"" (25 mm)";buah ;30000;Material
;"Tee Ø 1-1/4"" (32 mm)";buah;32000;Material
;"Tee Ø 1-1/2"" (40 mm)";buah;39000;Material
;"Tee Ø 2"" (50 mm)";buah;42000;Material
;"Tee Ø 2-1/2"" (65 mm)";buah;48000;Material
;"Tee Ø 5"" (125 mm)";buah;55000;Material
;"Tee Ø 3"" (80 mm)";buah;59000;Material
;"Tee Ø 4"" (100 mm)";buah;62000;Material
;"Tee Ø 12"" (300 mm)";buah;235000;Material
;"Tee Ø 16"" (400 mm)";buah;255000;Material
MATERIAL BESI DAN BAJA;;;;Material
;Baja (ulir) U-39;kg;14600;Material
;Baja (ulir) U-48;kg;14600;Material
;Baja Tahan Karat  ( Stainless  Steel );kg;80340;Material
;Baja L 40.40.4;kg;14840;Material
;Frame besi L.30.30.3;kg;14840;Material
;Frame Allum L.10.1;kg;25000;Material
;Besi angkur diameter 8;kg;35000;Material
;Besi angkur/mur/baut;kg;16660;Material
;;;;Material
;Baut ;kg ;17000;Material
;Besi hollow  38.38.2;kg;13700;Material
;Besi hollow  50.50.3;kg;13800;Material
;Besi hollow galvanis 40.40;m';6250;Material
;Besi lis  kaca (1 x  1) cm;m';10500;Material
;Besi plat baja tebal 2 mm;kg;25000;Material
;Besi profil;kg;14840;Material
;Besi siku;kg;14700;Material
;Besi siku 30x30x3 mm;kg;13000;Material
;Besi siku 40x40x4 mm;kg;15667;Material
;Baja Profil Siku ;kg;15500;Material
;Besi siku 40x40x4;m';20825;Material
;Besi siku 20x20 tebal 2 mm;m;19500;Material
;Besi strip;kg;7500;Material
;Teralis Besi Strip lengkap dengan accessories ;M2;150000;Material
;Pelat Strip t=2,6 mm, L=12 cm;buah;21000;Material
;Pelat Strip t=2,6 mm, L=14 cm;buah;29000;Material
;Pelat Strip t=2,6 mm, L=17 cm;buah ;39000;Material
;Pelat Strip t=2,6 mm, L=34 cm;buah;58000;Material
;Angkur Baja Full Drat ASTM 307 dia. 10 mm Panjang 35 cm ;buah;9200;Material
;Angkur Baja Full Drat ASTM 307 dia 10 mm Panjang 65 cm ;buah;18000;Material
;Besi strip (0,2x2) cm;m';5000;Material
;Besi strip (0,2x2) cm;kg;15000;Material
;Besi strip (20x3) mm;kg;17250;Material
;Plat Strip 3/30 mm;m';9900;Material
;Besi strip tebal 5 mm;kg;7500;Material
;BjTP;kg;14250;Material
;Baja Tulangan Polos (BjTP) diameter < 12 mm;kg ;14250;Material
;Baja Tulangan Polos (BjTP) diameter >12 mm;kg ;16000;Material
;BjTS;kg;14500;Material
;Baja Tulangan Sirip (BjTS) diameter < 12 mm;kg ;14500;Material
;Baja Tulangan Sirip (BjTS) diameter >12 mm;kg ;16500;Material
;Bronjong kawat  pabrikan Uk.2x1x0,5 ø  3mm mesh 8x10;Unit;460000;Material
;Bronjong kawat  pabrikan Uk.3x1,5x0,5 ø  3mm mesh 8x10;Unit;891000;Material
;Bronjong kawat  pabrikan Uk.3x1x0,5 ø  3mm mesh 8x10;Unit;656000;Material
;Bronjong kawat  pabrikan Uk.4x1x0,5 ø  3mm mesh 8x10;Unit;805000;Material
;Dinabolt dia. 12mm (10-15 cm);buah;4550;Material
;Dynabolt M12;buah ;30500;Material
;Jaring Kawat Baja dilas;kg;15150;Material
;Kawat  bronjong;kg;15680;Material
;Kawat  duri;roll;116750;Material
;Kawat  galvanis  Ø 3 mm;kg;26020;Material
;Kawat  galvanis  Ø 4 mm;kg;25400;Material
;Kawat  galvanis  Ø 5 mm;kg;22800;Material
;Kawat  harmonika 12 x  24 mm;m2;28450;Material
;Kawat  harmonika 14 x  30 mm;m2;28470;Material
;Kawat  harmonika 14 x  35 mm;m2;27900;Material
;Kawat  kasa;m2;26900;Material
;Kawat beton;kg;18800;Material
;Kawat bendrat;kg ;18800;Material
;Kawat duri;m';1750;Material
;Kawat seng 3mm;kg;18800;Material
;Kawat harmonika;m2;34620;Material
;Kawat jaring panjang 240 cm;lembar;300000;Material
;Kawat las;kg;45550;Material
;Kawat nyamuk;m3;20190;Material
;Kawat nyamuk nylon;m2;18000;Material
;Kawat Ø 4 mm;kg;35000;Material
;Lapisan hot  deep galvanis;kg;8400;Material
;Paku;kg;20000;Material
;Paku 1 inch;kg;15000;Material
;Paku 12 cm;buah;1500;Material
;Paku 2 inch;kg;18000;Material
;Paku 4 inch;kg;19000;Material
;Paku biasa 5 inchi;kg;20000;Material
;Paku 5 dan 10 cm ;kg ;20000;Material
;Paku 5 dan 7 cm;kg;20000;Material
;Paku 7 - 10 cm ;kg;20000;Material
;Paku 3 cm ;kg;15000;Material
;Paku Tripleks ;kg;17500;Material
;Paku beton;kg;39450;Material
;Paku Beton 5 cm;buah;200;Material
;Paku hak panj 15cm;kg;22070;Material
;Paku pancing 6x23;kg;19460;Material
;Paku payung;kg;35590;Material
;Paku rivet;buah;200;Material
;Paku sekrup;kg;30090;Material
;Paku sekrup (buah);buah;1600;Material
;Paku Sekrup 1-2 cm;buah;1600;Material
;Paku Fishes/kotak;kotak;29000;Material
;Paku Fishes ;buah ;580;Material
;Pintu tahan api;unit;8000000;Material
;Pipa baja dia. 30 cm;m';1680000;Material
;Pipa baja dia. 40 cm;m';2240000;Material
;Pipa baja dia. 50 cm;m';2800000;Material
;Pipa besi hitam 1 inch;m';15500;Material
;Pipa besi hitam 1,5 inch;m';22000;Material
;Pipa besi hitam 2 inch;m';31000;Material
;Pipa besi hitam 3 inch;m';42000;Material
;Saringan pasir;m';16650;Material
;Sekrup kait;buah;700;Material
;Wiremesh M10;kg;12430;Material
;Wiremesh M12;kg;12660;Material
;Wiremesh M6;kg;11522;Material
;Wiremesh M7;kg;11816;Material
;Wiremesh M8;kg;12049;Material
;Wiremesh M9;kg;12276;Material
MATERIAL PENUTUP ATAP;;;;Material
;Aluminium gelombang 95x180 cm;lembar;180400;Material
;Asbes  gelombang kecil 4mm (150x105);lembar;47800;Material
;Asbes  gelombang kecil 4mm (180x105);lembar;57300;Material
;Asbes  gelombang kecil 4mm (210x105);lembar;65300;Material
;Asbes  gelombang kecil 4mm (240x105);lembar;75500;Material
;Asbes gelombang besar 5 mm, 150x105 cm;lembar;120000;Material
;Asbes gelombang besar 5 mm, 180x92 cm;lembar;85500;Material
;Asbes gelombang besar 5 mm, 200x92 cm;lembar;94000;Material
;Asbes gelombang besar 5 mm, 210x105 cm;lembar;125000;Material
;Asbes gelombang besar 5 mm, 225x92 cm;lembar;104900;Material
;Asbes gelombang besar 5 mm, 240x105 cm;lembar;130000;Material
;Asbes gelombang besar 5 mm, 250x92 cm;lembar;113400;Material
;Asbes gelombang besar 5 mm, 300x105 cm;lembar;135000;Material
;Asbes gelombang besar 6 mm, 180x108 cm;lembar;93000;Material
;Asbes gelombang besar 6 mm, 210x108 cm;lembar;92900;Material
;Asbes gelombang besar 6 mm, 240x108 cm;lembar;99600;Material
;Asbes gelombang besar 6 mm, 270x108 cm;lembar;113400;Material
;Asbes gelombang besar 6 mm, 300x108 cm;lembar;131000;Material
;Asbes gelombang kecil 4 mm, 270x105 cm;lembar;88400;Material
;Asbes gelombang kecil 4 mm, 300x105 cm;lembar;100500;Material
;Atap metal berpasir;m2;112500;Material
;Atap metal lembaran;m2;112500;Material
;Atap metal menerus;m2;80000;Material
;Atap Rumbia /  Atap Saung 150cmx50cm;buah;20000;Material
;Atap UPVC uk. 86x119 cm;m2;200000;Material
;Bitumen tekstur genting;lembar;62700;Material
;Bubung genteng kodok;buah;8600;Material
;Bubung genteng palentong;buah;10700;Material
;Bubungan asbes  besar;buah;30700;Material
;Bubungan asbes  kecil;buah;48100;Material
;Bubungan beton press;buah;5300;Material
;Fibre glass  (jabes) 180x105 cm;lembar;78500;Material
;Fibre glass  (jabes) 200x92 cm;lembar;68500;Material
;Fibre glass  (jabes) 210x105 cm;buah;89700;Material
;Fibre glass  (jabes) 250x105 cm;buah;122300;Material
;Fibre glass  (jabes) 250x92 cm;buah;162500;Material
;Fibreglass 180x90 cm;lembar;59600;Material
;Frame 'S' 85.50 tinggi profil 85 dan tebal 0,75  mm;batang;145000;Material
;Galvalum Gelombang Lapis  Pasir;lembar;61200;Material
;Genteng aspal 80x100 cm;buah;149700;Material
;Genteng beton;buah;6800;Material
;Genteng decra bond;buah;9800;Material
;Genteng kodok;buah;3400;Material
;Genteng kodok glazuur;buah;5800;Material
;Genteng metal;lembar;50700;Material
;Genteng metal berpasir;lembar;30500;Material
;Genteng palentong;buah;2800;Material
;Genteng palentong super;buah;5300;Material
;Listplang papan kalsiboard;buah;56200;Material
;Listplang tekstur kayu;buah;54500;Material
;Nok genteng aspal;buah;95000;Material
;Nok genteng beton;buah;9600;Material
;Nok genteng metal;buah;25600;Material
;Nok paten 105 cm;lembar;70000;Material
;Nok paten 108 cm;lembar;75000;Material
;Nok paten 92 cm;lembar;65000;Material
;Nok setel rata 105 cm;lembar;75000;Material
;Nok setel rata 108 cm;lembar;80000;Material
;Nok setel rata 92 cm;lembar;70000;Material
;Nok standar;lembar;67000;Material
;Nok stel gelombang 105 cm;lembar;70000;Material
;Nok stel gelombang 108 cm;lembar;80000;Material
;Nok stel gelombang 92 cm;lembar;60000;Material
;Reng  batten  0,5;batang;35000;Material
;Roof light fiberglass;lembar;116300;Material
;Seng gelombang;lembar;85000;Material
;Seng gelombang 3x6 inch;lembar;83100;Material
;Seng Gelombang 105 cm x 180 cm;Lembar ;85000;Material
;Seng gelombang bjls  0.18 panjang 180 cm;lembar;55200;Material
;Seng gelombang bjls  0.20 panjang 180 cm;lembar;63900;Material
;Seng gelombang bjls  30 panjang 180 cm;lembar;73300;Material
;Seng gelombang bjls  0.40 panjang 180 cm;lembar;73000;Material
;Seng gelombang bjls  28;lembar;85500;Material
;Seng gelombang bljs 30;lembar;79000;Material
;Seng gelombang panjang 200 cm;lembar;85000;Material
;Seng plat  BJLS 0.18 lebar 55 cm;m';24800;Material
;Seng plat  BJLS 0.20 lebar 55 cm;m';28100;Material
;Seng plat  BJLS 0.28 lebar 55 cm;m';30400;Material
;Seng plat  BJLS 0.30 lebar 55 cm;m';34600;Material
;Seng plat 3x6 inch;lembar;66900;Material
;Seng plat 3x6 inch bjls 28;lembar;72200;Material
;Seng pelat;lembar;72200;Material
;Seng Pelat  90x180 cm bjls 28;lembar ;72200;Material
;Seng plat bjls 28;m';70200;Material
;Seng plat bjls 30;m';74400;Material
;Seng plat bjls 30;lembar;35000;Material
;Sirap (100 lbr);pak;200000;Material
;Sirap kayu;buah;5000;Material
;Wab  capsule 62.27  tinggi 62  mm dan  tebal 0,4mm;batang;55000;Material
;MATERIAL PLAFON;;;Material
;Asbes 1,00  x 1,00  m;lembar;17400;Material
;Compon Flafond;kg;5000;Material
;cross tee;batang;18000;Material
;GRC Pelat t=4 mm uk 122x244 cm;lembar;200000;Material
;GRCboard (120 cm x  240 cm x  5 mm);m2;80800;Material
;GRCboard (120 cm x  240 cm x  6 mm);m2;99300;Material
;Gypsum Board (120 cm x  240 cm x  12 mm);lembar;93000;Material
;Gypsum Board (122 cm x  244 cm x  12 mm);Lembar ;96000;Material
;Gypsum board (120 cm x 240 cm x 9 mm);lembar;70000;Material
;Rockwool tebal 50 mm;m2;290000;Material
;Lambersening plafon ˂3;m2;180000;Material
;Lambersening plafon ˃3;m2;200000;Material
;List gypsum profil;m';15800;Material
;Listplank GRC lebar 20 cm;m';21000;Material
;Listplank GRC lebar 30 cm;m';23000;Material
;Main tee;batang;34000;Material
;Papan semen;m2;45000;Material
;Asbes gelombang;lembar;62400;Material
;Pelat  asbes  tebal 3,5 mm;lembar;62400;Material
;Pelat  asbes  tebal 4 mm;lembar;69800;Material
;Plafon akustik 30x30 cm;lembar;6200;Material
;Plafon akustik 30x60 cm;lembar;13900;Material
;Plafon akustik 60x120 cm;lembar;24000;Material
MATERIAL PENUTUP LANTAI DAN DINDING;;;;Material
;Bata Ekspose Tempel warna natural 8x24x2 cm;m';125000;Material
;Bata tempel;buah;2500;Material
;Batako 20x40x10 cm;buah;3000;Material
;Batu andesit  30x30 t=3cm;m2;165000;Material
;Batu andesit  30x30 t=5cm;m2;265000;Material
;Batu paras;m2;125000;Material
;Batu paros;m2;131600;Material
;Batu tempel hitam;m2;121600;Material
;Floor hardener;kg;5000;Material
;Flooring Kayu Kruing   1,5x13,5x60 cm;m2;195000;Material
;Flooring Kayu Merbau 1,5x9x30cm;m2;420000;Material
;Flooring Kayu Sonokeling Grade B  1,5x9x30cm;m2;420000;Material
;Granit  bakar 10x10, t=2cm;m2;275000;Material
;Granit  bakar 30x30, t=2cm;m2;315000;Material
;Granit  tile unpolish /  anti skid;m2;220100;Material
;Granit tile 30x30 cm (double loading);buah;27700;Material
;Granit tile 40x40 cm (double loading);buah;39200;Material
;Granit tile 60x60 cm (double loading);buah;92800;Material
;Granito  30 x  30 cm;m2;326400;Material
;Granito  40 x  40 cm;m2;242500;Material
;Guiding Block Warna t  =  6 cm;m2;330600;Material
;Homogenous tile 30x30 cm;buah;20000;Material
;Homogenous tile 40x40 cm;buah;30000;Material
;Homogenous tile 60x60 cm;buah;50000;Material
;Homogenous tile unpolish 30x30 cm;buah;27000;Material
;Homogenous tile unpolish 40x40 cm;buah;39000;Material
;Homogenous tile unpolish 60x60 cm;buah;56000;Material
;Homogenous tile dinding 30x30 cm;buah;22000;Material
;Homogenous tile dinding 40x40 cm;buah;30000;Material
;Homogenous tile dinding 60x60 cm;buah;35000;Material
;Karpet;m2;45000;Material
;Keramik  20  x 25  cm;buah;2400;Material
;Keramik 10 x  20 cm;buah;2300;Material
;Keramik 20x20 cm;buah;2200;Material
;Keramik 25 x  25 cm;buah;3100;Material
;Keramik 30x30 cm;buah;4000;Material
;Keramik 40x40 cm;buah;8100;Material
;Keramik 60x60 cm;buah;12000;Material
;Keramik Variasi 30x30 cm;buah;4000;Material
;Keramik Variasi 40x40 cm;buah;8100;Material
;KeramikVariasi  60x60 cm;buah;12000;Material
;Step Nosing Keramik 10x60 cm;buah ;28000;Material
;Keramik Tactile 30x30 cm ;buah ;37000;Material
;Keramik Tactile 40x40 cm;buah ;39500;Material
;Keramik artistik 10x10 cm;buah;1500;Material
;Keramik artistik 20x20 cm;buah;2000;Material
;Keramik artistik 30x30 cm;buah;3000;Material
;Keramik artistik 40x40 cm;buah;4000;Material
;Keramik artistik 8x8 cm;buah;1000;Material
;Keramik cuting 50x50;buah;27500;Material
;Keramik dinding 10x20 cm;buah;2000;Material
;Keramik dinding 20x20 cm;buah;3000;Material
;Keramik dinding artistik 10x20 cm;buah;2500;Material
;Keramik dinding artistik 5x20 cm;buah;2000;Material
;Lamparquet  Kayu Merbau 1x6x20cm;m2;190000;Material
;Lamparquet  Kayu Merbau 1x9x20cm;m2;200000;Material
;Lantai engineering wood;m2;200000;Material
;Lantai Parket  Jati grade A   1,2x5x17 cm;m2;175000;Material
;Lantai Parket  Jati grade A   1,2x5x20cm;m2;222000;Material
;Lantai Parket  Jati grade A   1,2x5x25 cm;m2;250000;Material
;Lantai Parket  Jati grade A   1,2x5x30 cm;m2;280000;Material
;Lantai Parket  Jati grade B   1,2x5x17 cm;m2;160000;Material
;Lantai Parket  Jati grade B   1,2x5x20cm;m2;195000;Material
;Lantai Parket  Jati grade B   1,2x5x25 cm;m2;210000;Material
;Lantai Parket  Jati grade B   1,2x5x30 cm;m2;250000;Material
;Lantai Parket  Jati grade C   1,2x5x20cm;m2;140000;Material
;Lantai Parket  Jati grade C   1,2x5x25 cm;m2;150000;Material
;Lantai Parket  Jati grade C   1,2x5x30 cm;m2;160000;Material
;Lem;kg;60000;Material
;Marmer;buah;800000;Material
;Marmer;m2;492600;Material
;Marmer Graphir 10x10 cm;buah;20000;Material
;Marmer Graphir 12x12 cm;buah;25000;Material
;Pen Kuningan titik acuan;buah ;27000;Material
;Mozaik porselen 10 x  20 cm;m2;73400;Material
;Mozaik porselen 15 x  15 cm;m2;74400;Material
;Mozaik porselen 20 x  20 cm;m2;75400;Material
;Mozaik porselen 20 x  25 cm;m2;75400;Material
;Parquet kayu solid;m2;306600;Material
;Plint  Kayu 10 cm;buah;85000;Material
;Plint  keramik 10 x  20 cm;buah;8200;Material
;Plint  keramik 5 x  20 cm;buah;3400;Material
;Plint granit 10 cm x 40 cm;buah;24000;Material
;Plint granit 10cm x 30cm;buah;22600;Material
;Plint homogenous tile uk. 10-15x30 cm;buah;5000;Material
;Plint homogenous tile uk. 10-15x40 cm;buah;7000;Material
;Plint homogenous tile uk. 10-15x60 cm;buah;10000;Material
;Plint homogenous tile unpolish uk. 10-15x30 cm;buah;7000;Material
;Plint homogenous tile unpolish uk. 10-15x40 cm;buah;9000;Material
;Plint homogenous tile unpolish uk. 10-15x60 cm;buah;13000;Material
;Plint internal cove uk. 5x5x20 cm;buah;5000;Material
;Plint keramik  10  x 30  cm;buah;15300;Material
;Plint keramik uk. 10-15x20 cm;buah;2000;Material
;Plint keramik uk. 10-15x30 cm;buah;3000;Material
;Plint keramik uk. 10-15x40 cm;buah;4000;Material
;Plint keramik uk. 10-15x60 cm;buah;5000;Material
;Plint teralux kerang uk. 10-15x30 cm;buah;2000;Material
;Plint teralux kerang uk. 10-15x40 cm;buah;3000;Material
;Plint teralux kerang uk. 10-15x60 cm;buah;4000;Material
;Plint teralux marmer uk. 10-15x30 cm;buah;2500;Material
;Plint teralux marmer uk. 10-15x40 cm;buah;3000;Material
;Plint teralux marmer uk. 10-15x60 cm;buah;4000;Material
;Plint ubin granit uk. 10-15x30 cm;buah;6000;Material
;Plint ubin granit uk. 10-15x40 cm;buah;8000;Material
;Plint ubin granit uk. 10-15x60 cm;buah;10000;Material
;Plint ubin PC abu-abu uk. 10-15x20 cm;buah;1000;Material
;Plint ubin PC abu-abu uk. 10-15x30 cm;buah;1500;Material
;Plint ubin PC abu-abu uk. 10-15x40 cm;buah;2000;Material
;Plint ubin PC abu-abu uk. 10-15x60 cm;buah;2500;Material
;Plint ubin teraso uk. 10-15x30 cm;buah;4000;Material
;Plint ubin teraso uk. 10-15x40 cm;buah;6000;Material
;Plint ubin warna uk. 10-15x20 cm;buah;1500;Material
;Plint ubin warna uk. 10-15x30 cm;buah;2000;Material
;Plint ubin warna uk. 10-15x40 cm;buah;3000;Material
;Plint ubin warna uk. 10-15x60 cm;buah;4500;Material
;Porselen 10x20 cm;buah;2000;Material
;Porselen 11x11 cm;buah;1000;Material
;Porselen 11x11 cm (dus);dus;83000;Material
;Porselen 20x20 cm;buah;4000;Material
;Tangga Papan;m2;160000;Material
;Tangga Parquet  /  Flooring;m2;180000;Material
;Tegel plint, PC  abu-abu 15 x  20 cm;buah;6100;Material
;Tegel plint, PC  warna 10 x  20 cm;buah;5300;Material
;Teraso cor;m3;3500000;Material
;Ubin granit 30x30 cm;buah;14200;Material
;Ubin granit 40x40 cm;buah;20000;Material
;Ubin granit 60x60 cm;buah;30000;Material
;Ubin PC abu-abu 20x20 cm;buah;2000;Material
;Ubin PC abu-abu 30x30 cm;buah;3400;Material
;Ubin PC abu-abu 40x40 cm;buah;4600;Material
;Ubin PC abu-abu 60x60 cm;buah;6000;Material
;Ubin porselen lokal 11 x  11 putih;dos;43800;Material
;Ubin porselen lokal 11 x  11 warna;dos;46900;Material
;Ubin porselen lokal 15 x  15 putih;dos;48400;Material
;Ubin porselen lokal 15 x  15 warna;dos;49900;Material
;Ubin teralux marmer 30x30 cm;buah;45000;Material
;Ubin teralux marmer 40x40 cm;buah;60000;Material
;Ubin teralux marmer 60x60 cm;buah;70000;Material
;Ubin teraso 30x30 cm;buah;24000;Material
;Ubin teraso 40x40 cm;buah;30000;Material
;Ubin warna 20x20 cm;buah;2000;Material
;Ubin warna 30x30 cm;buah;4500;Material
;Ubin warna 40x40 cm;buah;6000;Material
;Ubin warna 60x60 cm;buah;8000;Material
;Underlayer karpet;m2;10000;Material
;UPVC decking;m2;500000;Material
;Vinyl;buah;7000;Material
MATERIAL BETON DAN ADUKAN PASANGAN;;;;Material
;Additive;liter;51600;Material
;Zat Aditif ;kg ;25000;Material
;Floor lantai (Beton lantai kerja);m3;805600;Material
;Lantai Kerja;m3;805000;Material
;Adukan beton berpori (Aggregat  10/20mm) ready mix;m3;2250000;Material
;Adukan beton K-100 ready mix;m3;788100;Material
;Adukan beton K-125 ready mix;m3;805600;Material
;Adukan beton K-175 ready mix;m3;848100;Material
;Adukan beton K-200 ready mix;m3;869200;Material
;Adukan beton K-225 ready mix;m3;887700;Material
;Adukan beton K-250 ready mix;m3;911300;Material
;Adukan beton K-275 ready mix;m3;937100;Material
;Adukan beton K-300 ready mix;m3;961200;Material
;Adukan beton K-350 ready mix;m3;1001900;Material
;Adukan beton K-400 ready mix;m3;1066100;Material
;Adukan beton K-500 ready mix;m3;1152800;Material
;Beton fc' 15 Mpa;m3;1100000;Material
;Compound gypsum;kg;3500;Material
;Compound hardboard;kg;3700;Material
;Curing compound;liter;44100;Material
;Flexible waterproofing;kg;52400;Material
;Membran Bakar ;m2;150000;Material
;Cairan Primer ;kg ;57500;Material
;Formtie/penjaga jarak bekesting/spacer;buah;7000;Material
;Kassa;m';8100;Material
;Kolom beton pracetak;batang;282000;Material
;Panel beton pracetak;lembar;125000;Material
;Paper tape hardboard;m';4800;Material
;Pengisi khusus  rongga nat;kg;15500;Material
;Perekat  khusus  penutup dinding;kg;21100;Material
;Perekat  khusus  penutup lantai;kg;17200;Material
;Semen 40 Kg;zak;46600;Material
;Semen 50 Kg;zak;63000;Material
;Semen grout;kg;6000;Material
;Semen merah;kg;15800;Material
;Semen Merk II 40 Kg;zak;46500;Material
;Semen Merk II 50 Kg;zak;57600;Material
;Semen nat;kg;16100;Material
;Semen Portland (PC);kg;1260;Material
;Semen putih 40 Kg;zak;89700;Material
;Semen putih 50 Kg;zak;97700;Material
;Semen warna;kg;7800;Material
;Waterproofing;kg;61200;Material
;Waterproofing Cristalin;kg;62000;Material
;Waterproofing Semen Base;kg;74500;Material
;Waterproofing Acrylic Base;kg;64000;Material
;Joint Sealant;kg;22000;Material
;Polytene 125 Mikron;kg ;46000;Material
;Dowel dia. 25 mm (BjTs);Kg;15367.96537;Material
;Tie Bar Dia. 16 mm (BjTS);Kg ;17721.51899;Material
;Lolos screen 2 ukuran 9,5-19,0;m3;1970000;Material
;Lolos screen 2 ukuran 0-5;m3;1799000;Material
;Lantai Kerja fc 10 Mpa;m3;1236000;Material
;Lantai Kerja fc 7,5 Mpa;m3;928000;Material
;U-Ditch 30x30x120 cm ;Buah;220000;Material
;U-Ditch 30x40x120 cm ;Buah;240000;Material
;U-Ditch 40x40x120 cm ;Buah;270000;Material
;U-Ditch 40x50x120 cm ;Buah;290000;Material
;U-Ditch 40x60x120 cm ;Buah;320000;Material
;U-Ditch 50x50x120 cm ;Buah;340000;Material
;U-Ditch 50x60x120 cm ;Buah;370000;Material
;U-Ditch 50x70x120 cm ;Buah;390000;Material
;U-Ditch 60x60x120 cm ;Buah;420000;Material
;U-Ditch 60x70x120 cm ;Buah;440000;Material
;U-Ditch 60x80x120 cm ;Buah;470000;Material
;U-Ditch 80x60x120 cm ;Buah;490000;Material
;U-Ditch 80x80x120 cm ;Buah;520000;Material
;U-Ditch 80x100x120 cm ;Buah;540000;Material
;U-Ditch 100x100x120 cm ;Buah;570000;Material
;U-Ditch 100x120x120 cm ;Buah;590000;Material
;U-Ditch 120x120x120 cm ;Buah;620000;Material
;U-Ditch 120x140x120 cm ;Buah;640000;Material
;U-Ditch 140x140x120 cm ;Buah;670000;Material
;U-Ditch 150x100x120 cm ;Buah;680000;Material
;U-Ditch 150x150x120 cm ;Buah;710000;Material
;U-Ditch 150x170x120 cm ;Buah;730000;Material
;U-Ditch 160x160x120 cm ;Buah;750000;Material
;U-Ditch 160x180x120 cm ;Buah;780000;Material
;U-Ditch 180x180x120 cm ;Buah;800000;Material
;U-Ditch 180x200x120 cm ;Buah;830000;Material
;U-Ditch 200x200x120 cm ;Buah;850000;Material
;Tutup U-Ditch 39x60x6 (tipe LD);buah ;70000;Material
;Tutup U-Ditch 51x60x7 (tipe LD);buah ;100000;Material
;Tutup U-Ditch 62x60x7,5 (tipe LD);buah ;125000;Material
;Tutup U-Ditch 73x60x7,8 (tipe LD);buah;165000;Material
;Tutup U-Ditch 94x60x10 (tipe LD);buah ;195000;Material
;Tutup U-Ditch 39x60x9 (tipe HD);buah ;125000;Material
;Tutup U-Ditch 51x60x10 (tipe HD);buah ;176000;Material
;Tutup U-Ditch 73x60x14 (tipe HD);buah ;235000;Material
;Tutup U-Ditch 94x60x15 (tipe HD);Buah ;375000;Material
MATERIAL CAT;;;;Material
;Cat  anti karat;kg;58200;Material
;Cat  besi;kg;62800;Material
;Cat  coating;liter;75700;Material
;Cat  genteng;kg;52800;Material
;Cat  tembok per 20 kg;kg;528800;Material
;Cat antara (cat besi);kg;49700;Material
