Kode;Komponen;Satuan;Harga_Dasar;Kategori
;"Pemasangan 1 m pipa PVC AW, DN. 6"" (150 mm)";m';108000;Material
;"Pipa PVC AW Ø 8""";m';132500;Material
;"Pipa PVC AW ; DN. 8""
(200 mm) + fitting &
aksesoris";m';133000;Material
;"Pipa PVC D Ø 10""";m';232900;Material
;"Pipa PVC D ; DN.
10"" (250 mm) +
fitting & aksesoris";m';233000;Material
;"Pipa PVC AW ; DN.
10"" (250 mm) +
fitting & aksesoris";m';232000;Material
;"Pipa PVC D Ø 1-1/2""";m';11175;Material
;"Pipa PVC D ; DN. 1-1/2"" (40 mm) + fitting & aksesoris";m';12000;Material
;"Pipa PVC D Ø 1-1/4""";m';10000;Material
;"Pipa PVC D ; DN. 1-1/4"" (32 mm) + fitting & aksesoris";m';11000;Material
;"Pipa PVC D Ø 12""";m';319750;Material
;"Pipa PVC D ; DN.
12"" (300 mm) +
fitting & aksesoris";m';320000;Material
;"Pipa PVC D Ø 14""";m';325000;Material
;"Pipa PVC D ; DN.
14"" (350 mm) +
fitting & aksesoris";m';323000;Material
;"Pipa PVC D Ø 16""";m';362500;Material
;"Pipa PVC D ; DN.
16"" (400 mm) +
fitting & aksesoris";m';363000;Material
;"Pipa PVC D Ø 2""";m';14750;Material
;"Pipa PVC D ; DN. 2"" (50 mm) + fitting & aksesoris";m';15000;Material
;"Pipa PVC D Ø 2-1/2""";m';20625;Material
;"Pipa PVC D ; DN.
2-1/2"" (65 mm) +
fitting & aksesoris";m';21000;Material
;"Pipa PVC D Ø 3""";m';28600;Material
;"Pipa PVC D ; DN.
3"" (80 mm) + fitting &
aksesoris";m';29000;Material
;"Pipa PVC D Ø 4""";m';39575;Material
;"Pipa PVC D ; DN. 4"" (100 mm) + fitting & aksesoris";m';40000;Material
;"Pipa PVC D Ø 5""";m';63200;Material
;"Pipa PVC D ; DN. 5"" (125 mm) + fitting & aksesoris";m';64000;Material
;"Pipa PVC D Ø 6""";m';79775;Material
;"Pipa PVC D ; DN. 6"" (150 mm) + fitting & aksesoris";m';80000;Material
;"Pipa PVC D Ø 8""";m';139575;Material
;"Pipa PVC D ; DN. 8"" (200 mm) + fitting & aksesoris";m';140000;Material
;"Pipa PVC dia. 1""";m';11250;Material
;"Pipa PVC dia. 2""";m';26000;Material
;"Pipa Tembaga B280 1/4""";m';34300;Material
;Duct Tape ;gulung ;9050;Material
;"Pipa Tembaga B280 3/8""";m';45300;Material
;"Pipa Tembaga B280 1/2""";m';46400;Material
;"Pipa Tembaga B280 5/8""";m';101600;Material
;"Pipa Tembaga B280 3/4""";m';122700;Material
;"Pipa Tembaga B280 7/8""";m';351600;Material
;"Pipa Tembaga B280 1""";m';370000;Material
;"Pipa Tembaga B280 1-1/8""";m';375000;Material
;"Pipa Tembaga B280 1-3/8""";m';380000;Material
;"Pipa Tembaga B280 1-5/8""";m';290000;Material
;PRV SET dia. 50 mm dan aksesoris;unit ;6131000;Material
;PRV SET dia. 65 mm dan aksesoris;unit ;8397000;Material
;PRV SET dia. 80 mm dan aksesoris;unit ;8550000;Material
;PRV SET dia. 100 mm dan aksesoris;unit ;14250000;Material
;PRV SET dia. 150 mm dan aksesoris;unit ;14500000;Material
;PRV SET dia. 200 mm dan aksesoris;unit ;15500000;Material
;MCV Set dia. 80 mm;unit ;20500000;Material
;MCV Set dia. 100 mm;unit ;20900000;Material
;MCV Set dia. 150 mm;unit ;30300000;Material
;BCV Set dia. 50 mm;set ;1700000;Material
;Flow Switch dia. 50 mm;buah ;83000;Material
;Sigh Glass ;buah ;85000;Material
;Flow Switch ;buah ;104000;Material
;Test Drain Valve ;buah ;750000;Material
;Coupling 1 set ;set ;115000;Material
;Temper Switch ;buah ;700000;Material
;BCV Set dia. 65 mm;set ;1900000;Material
;BCV Set dia. 80 mm;set ;2100000;Material
;BCV Set dia. 100 mm;set ;2400000;Material
;BCV Set dia. 150 mm;set ;2600000;Material
;Automatic Air Vent  dia. 50 mm;unit ;635000;Material
;Automatic Air Vent  dia. 80 mm;unit;766500;Material
;Automatic Air Vent  dia. 100 mm;unit ;980000;Material
;Automatic Air Vent  dia. 150 mm;unit;1150000;Material
;Flow Meter Analog dia. 100 mm;unit ;1300000;Material
;Flow Meter Analog dia. 200 mm;unit ;1500000;Material
;"Landing Velve 2,5""";unit ;1259000;Material
;Orifice Plate dia. 25 mm;unit ;1500000;Material
;Sprinkler Head Pendant dan Aksesoris ;unit ;85000;Material
;Sprinkler Head Upright dan Aksesoris ;unit ;82900;Material
;Hydrant Pillar dan Aksesoris ;unit ;3750000;Material
;Indoor Hydrant Box dan Aksesoris ;unit ;1200000;Material
;Outdoor Hydrant Box dan Aksesoris ;unit ;1700000;Material
;Siamesse Connection dan Aksesoris ;unit ;2200000;Material
;Fire Extinguisher 3 kg  dan Aksesoris ;Unit ;171500;Material
;Fire Extinguisher 5 kg  dan Aksesoris ;unit;227900;Material
;Fire Extinguisher 25 kg  dan Aksesoris ;unit ;1900000;Material
;Jockey Fire Pump Vertical Multi Stage 25 USGPM ;unit ;7400000;Material
;Main Fire Pump Centrifugal  End Suction 1.000 USGPM ;unit ;10000000;Material
;Diesel Fire Pump Centrifugal End Suction dan Aksesoris ;unit ;12000000;Material
